profile,layer_position,layer_index,head_index,auc,null_mean,null_q95,p_value_perm_ge,positive_rate_profile_beats_anchor
triad_odd_bal_0.45,1,7,13,0.5705911546472273,0.5138663434001562,0.5370317788336371,0.0,0.3121495327102804
edges_narrow_bal_0.55,6,27,9,0.5705280603727438,0.517973603015419,0.5402616366774073,0.0,0.3186915887850467
late_boost_bal_0.60,4,19,10,0.5700786291033462,0.5153476801084431,0.5337672233779565,0.0,0.3355140186915888
edges_narrow_bal_0.55,0,3,15,0.568862660857882,0.5130115974560421,0.5306266568512685,0.0,0.3186915887850467
late_boost_bal_0.60,3,15,9,0.568535038335116,0.5163736978401482,0.5388038738643443,0.0,0.3355140186915888
late_boost_bal_0.60,1,7,7,0.5681236753131256,0.5167938757840382,0.541154715591442,0.0,0.3355140186915888
triad_odd_bal_0.45,0,3,15,0.5675890067690705,0.5152543282999217,0.5346729774147357,0.0,0.3121495327102804
triad_odd_bal_0.45,2,11,1,0.5673530656079147,0.5137782315803175,0.5310891125357979,0.0,0.3121495327102804
late_boost_bal_0.60,1,7,4,0.5671324863172824,0.5166364608676234,0.5376561710329913,0.0,0.3355140186915888
late_boost_bal_0.60,4,19,12,0.5667367942675583,0.5161751857989649,0.5415353243303599,0.0,0.3355140186915888
late_boost_bal_0.60,3,15,13,0.5666153442324946,0.5155452127138597,0.5364988697311253,0.0,0.3355140186915888
late_boost_bal_0.60,2,11,9,0.5662039812105042,0.5140878906479556,0.53714882330587,0.0,0.3355140186915888
triad_odd_bal_0.45,4,19,3,0.5659943699557407,0.515093969669357,0.5306607572897682,0.02,0.3121495327102804
edges_narrow_bal_0.55,6,27,0,0.565934132242376,0.5134524858300247,0.5292706032849401,0.0,0.3186915887850467
late_boost_bal_0.60,4,19,15,0.5659062327374447,0.5154520487837366,0.5401997657189646,0.0,0.3355140186915888
edges_narrow_bal_0.55,5,23,5,0.5657249516269827,0.5142606470921884,0.5338631234688582,0.0,0.3186915887850467
late_boost_bal_0.60,3,15,3,0.5654361035694557,0.514818157955565,0.5368001441729449,0.0,0.3355140186915888
triad_odd_bal_0.45,1,7,4,0.5653719734444156,0.5131733272585266,0.5368839088128092,0.0,0.3121495327102804
triad_odd_bal_0.45,2,11,15,0.5650099258005727,0.5150122038531633,0.5334906274407706,0.0,0.3121495327102804
late_boost_bal_0.60,2,11,4,0.5648210179080035,0.514152533408554,0.5330156043706341,0.0,0.3355140186915888
triad_odd_bal_0.45,6,27,7,0.5643875292892476,0.5151911936995575,0.5387114358240042,0.0,0.3121495327102804
edges_narrow_bal_0.55,5,23,10,0.5643853911476373,0.5176607170872404,0.5454686249190431,0.0,0.3186915887850467
triad_odd_bal_0.45,7,31,3,0.5643488837542306,0.5155150432829992,0.5341070237242905,0.0,0.3121495327102804
triad_odd_bal_0.45,3,15,3,0.5642939664149961,0.5159170788857069,0.5383624056235355,0.0,0.3121495327102804
triad_odd_bal_0.45,1,7,14,0.5641800637854726,0.5151124381671441,0.5373921992970581,0.0,0.3121495327102804
triad_odd_bal_0.45,1,7,6,0.5638383558969018,0.5173123860973705,0.5424592391304347,0.0,0.3121495327102804
edges_narrow_bal_0.55,5,23,1,0.5630699668931449,0.5164219655736979,0.5388142677270514,0.0,0.3186915887850467
edges_narrow_bal_0.55,4,19,13,0.5621145746593775,0.5129100241764519,0.5282353603739506,0.0,0.3186915887850467
edges_narrow_bal_0.55,5,23,2,0.5620119957037519,0.5138315854683835,0.535365603465962,0.02,0.3186915887850467
