profile,layer_position,layer_index,head_index,auc,null_mean,null_q95,p_value_perm_ge
baseline,2,11,2,0.6409233882093259,0.5130510438701369,0.5275372022440908,0.0
baseline,1,7,14,0.6405996505104387,0.5152891014439437,0.5310854410006438,0.0
edges_narrow_bal_0.55,1,7,15,0.640392256067618,0.530042707697802,0.5659826490677221,0.0
baseline,6,27,6,0.6403127011864251,0.5125750022992736,0.5353190471810908,0.0
baseline,2,11,4,0.6391980134277568,0.5153516416812287,0.5357064287685092,0.0
late_boost_bal_0.60,7,31,10,0.6391681744268604,0.5204717953415934,0.5544331966806373,0.0
baseline,3,15,0,0.6387675894417364,0.514476225512738,0.533231122965143,0.0
constant_2.6,6,27,9,0.6387380216624527,0.5124251646533695,0.5262167571870024,0.0
baseline,4,19,11,0.6383040559183298,0.5154521475213831,0.5334286765382139,0.0
baseline,6,27,13,0.6378037340200496,0.5134685919249518,0.5356779177779822,0.0
edges_narrow_bal_0.55,4,19,13,0.6377211648636181,0.5344494873588193,0.5668576360470826,0.0
constant_2.6,4,19,15,0.6377157661453944,0.515393451321909,0.5347215719324532,0.0
baseline,7,31,7,0.6374965510898556,0.5136913455348109,0.535728869677182,0.0
constant_2.6,5,23,6,0.6374153322720604,0.5122371008521397,0.5304990128601305,0.0
baseline,1,7,6,0.6368104478984641,0.5138912167754988,0.5323699071093534,0.0
baseline,3,15,6,0.6367883748735399,0.5145538489837211,0.5394124896532696,0.0
edges_narrow_bal_0.55,4,19,7,0.6366274311394176,0.5308426957932174,0.5861118138122945,0.0
edges_narrow_bal_0.55,4,19,2,0.636582788946593,0.5244707668040653,0.5627535304534159,0.0
baseline,3,15,3,0.636560286949324,0.5131853950151752,0.5337548054814678,0.0
constant_2.6,5,23,11,0.6354176421013205,0.5171133377032805,0.5358552220869619,0.0
constant_2.6,5,23,3,0.634980647376471,0.5155442925367544,0.5374760043075194,0.0
constant_2.6,7,31,1,0.6349338265130942,0.514698785778943,0.5279735149982833,0.0
baseline,0,3,1,0.6343309114319875,0.514282203623655,0.5356666973236457,0.0
baseline,7,31,4,0.6331316104111101,0.5142345994665685,0.5379711211257243,0.0
baseline,0,3,14,0.6327011864250898,0.5141880253839787,0.5334161684907569,0.0
constant_2.6,5,23,5,0.6325381590036521,0.5145268751755782,0.5372456066423199,0.0
baseline,3,15,1,0.6323480180263037,0.5128086084797203,0.5270631840338453,0.0
edges_narrow_bal_0.55,2,11,11,0.6321483311260249,0.5261802651746256,0.5623904406184431,0.0
baseline,1,7,12,0.6315497102915479,0.5154190379839971,0.5328626873907845,0.0
constant_2.6,5,23,10,0.6308096887973281,0.5156426943846177,0.5372253176015231,0.0
triad_odd_bal_0.45,5,23,8,0.6306001791579576,0.5252696327261869,0.5586873693639892,0.0
constant_2.6,5,23,2,0.6301034741080626,0.5131386365764586,0.5255226378874426,0.0
baseline,7,31,13,0.6295888899107882,0.5130383886691806,0.5349993562034397,0.0
late_boost_bal_0.60,1,7,11,0.6295872172472498,0.5193778103504875,0.5498373909259556,0.0
baseline,3,15,5,0.6294417364112941,0.5173288696771821,0.5387217879150189,0.0
constant_2.6,3,15,7,0.6291280394543809,0.5147578581015699,0.5349911820707308,0.0
baseline,3,15,11,0.6285404212268924,0.514501241607652,0.5362177871792514,0.0
baseline,1,7,0,0.6285109905269934,0.515123774487262,0.5359900671387842,0.0
constant_2.6,6,27,4,0.6282072291413054,0.5122230545931267,0.5335251037862471,0.0
edges_narrow_bal_0.55,5,23,14,0.6279966071933454,0.5263106203776728,0.5543734468237079,0.0
baseline,0,3,8,0.6275434562678194,0.5141469695576197,0.5339672583463625,0.0
constant_2.6,4,19,0,0.6275205231451135,0.5164841433342695,0.5351856837406749,0.0
constant_2.6,5,23,12,0.6265684989231202,0.5170271092798953,0.5457597855604457,0.0
edges_narrow_bal_0.55,1,7,1,0.626478772637312,0.528179044954688,0.5695540244936831,0.0
edges_narrow_bal_0.55,2,11,8,0.6257198553592952,0.5276418505677003,0.5627371616493801,0.0
constant_2.6,3,15,11,0.6252887286574897,0.515468676842401,0.5391330726971939,0.0
constant_2.6,2,11,15,0.6244693635483971,0.5161382151886881,0.5385390329931017,0.0
constant_2.6,0,3,11,0.6239036114492619,0.5151460810937354,0.535431298186472,0.0
edges_narrow_bal_0.55,2,11,10,0.6235472686418357,0.5319813693248612,0.5885954078064314,0.0
baseline,4,19,9,0.6234673043318312,0.518445985468592,0.5385698519267912,0.0
edges_narrow_bal_0.55,7,31,12,0.6234282227943037,0.5317111352509636,0.5762391928691537,0.0
baseline,4,19,13,0.6233606180446978,0.5148680952818907,0.535229651430148,0.0
constant_2.6,6,27,7,0.623244217623373,0.5159940069294877,0.5415974108062553,0.0
edges_narrow_bal_0.55,3,15,15,0.6225353789378134,0.5255653933721224,0.5626620139581255,0.0
edges_narrow_bal_0.55,2,11,7,0.6225204982068719,0.5273153673308432,0.5619313700688978,0.0
constant_2.6,1,7,14,0.6219800543122015,0.513364781346568,0.5279992664731404,0.0
baseline,2,11,1,0.6210061620527914,0.5147650142554953,0.5334568196449923,0.0
constant_2.6,1,7,7,0.6209617005337578,0.513314995161844,0.5307099993757218,0.0
constant_2.6,3,15,9,0.6209187814089959,0.5134772294534443,0.5293249797109592,0.0
